MSSubClass,LotFrontage,LotShape,X1stFlrSF,TotalBsmtSF,GrLivArea,FireplaceQu,GarageArea,Heating,ExterQual,MasVnrArea,BsmtFinSF1,BsmtUnfSF,CentralAir,SalePrice
160,NA,Reg,769,756,1525,TA,440,GasA,Gd,456,436,320,Y,177000
70,54,Reg,901,793,1802,Gd,216,GasA,TA,0,352,441,Y,200100
20,60,Reg,1340,0,1340,Gd,252,GasA,TA,98,0,0,Y,120000
50,63,Reg,1362,1362,2082,NA,484,GasA,TA,0,0,1362,Y,200000
50,92,IR1,936,504,1252,NA,576,GasA,TA,0,0,504,Y,127000
75,90,IR2,1518,1107,3608,TA,840,GasA,Gd,0,0,1107,Y,475000
80,NA,IR1,1217,1188,1217,NA,497,GasA,TA,0,611,577,Y,173000
50,60,Reg,808,660,1656,NA,180,GasA,TA,0,0,660,Y,135000
90,64,Reg,1224,1086,1224,TA,528,GasA,TA,275,1086,0,Y,153337
120,41,Reg,1593,1593,1593,Gd,682,GasA,Gd,0,1153,440,Y,286000
70,70,Reg,1549,853,2727,TA,440,GasA,Gd,0,297,556,Y,315000
60,NA,IR1,725,725,1479,NA,484,GasA,TA,138,626,99,Y,184000
20,68,IR1,1431,1431,1431,NA,666,GasA,Gd,0,560,871,Y,192000
160,24,Reg,970,970,1709,NA,380,GasA,Gd,50,0,970,Y,130000
20,60,IR1,864,864,864,NA,352,GasA,TA,0,390,474,Y,127000
160,24,Reg,855,855,1456,TA,440,GasA,TA,0,566,289,Y,148500
20,79,Reg,1726,1726,1726,Gd,786,GasA,Ex,205,1126,600,Y,311872
75,174,Reg,1360,1360,3112,Ex,795,GasA,Gd,0,1036,140,Y,235000
75,92,Reg,929,755,2229,NA,0,GasA,TA,0,0,755,Y,104000
20,76,Reg,1713,1713,1713,Gd,856,GasA,Gd,262,1088,625,Y,274900
20,80,Reg,1121,1121,1121,NA,440,GasA,TA,0,0,1121,Y,140000
20,75,Reg,1279,1196,1279,Fa,473,GasA,TA,0,641,276,Y,171500
50,50,Reg,865,617,1310,NA,398,GasA,TA,0,617,0,Y,112000
120,NA,Reg,848,848,848,Gd,420,GasA,Gd,205,662,186,Y,149000
50,50,Reg,720,720,1284,NA,240,GasA,TA,0,312,408,Y,110000
20,99,Reg,1442,1424,1442,NA,500,GasA,TA,0,0,1424,Y,180500
20,40,IR1,1696,1140,1696,TA,349,GasA,TA,0,0,1140,Y,143900
20,NA,IR1,1100,1100,1100,Po,312,GasA,TA,0,419,375,Y,141000
60,NA,IR1,1180,1157,2062,Gd,454,GasA,Gd,128,1065,92,Y,277000
20,75,Reg,1092,1092,1092,NA,504,GasA,TA,260,787,305,Y,145000
30,67,Reg,864,864,864,NA,0,GasA,TA,0,468,396,N,98000
20,83,Reg,1212,1212,1212,NA,460,GasA,TA,0,36,1176,Y,186000
60,72,Reg,932,900,1852,TA,644,GasA,TA,0,822,78,Y,252678
20,43,IR2,990,990,990,NA,576,GasA,TA,0,716,274,Y,156000
60,NA,IR1,689,689,1392,NA,299,GasA,TA,153,378,311,Y,161750
20,72,IR1,1236,1070,1236,Fa,447,GasA,TA,64,360,710,Y,134450
20,65,Reg,1436,1436,1436,NA,484,GasA,Gd,266,946,490,Y,210000
70,57,Reg,810,686,1328,NA,210,GasA,TA,0,0,686,N,107000
50,NA,IR1,1137,798,1954,TA,431,GasA,Gd,312,341,457,Y,311500
120,43,Reg,1248,1248,1248,NA,438,GasA,Gd,16,16,1232,Y,167240
20,73,IR1,1498,1498,1498,NA,675,GasA,Gd,0,0,1498,Y,204900
60,NA,IR1,1010,1010,2267,TA,390,GasA,Gd,0,0,1010,Y,200000
60,85,Reg,811,713,1552,TA,434,GasA,TA,0,550,163,Y,179900
20,70,Reg,864,864,864,NA,576,GasA,TA,0,524,160,Y,97000
20,103,Reg,2392,2392,2392,Ex,968,GasA,Ex,922,56,2336,Y,386250
160,21,Reg,630,630,1302,NA,280,GasA,TA,142,0,630,Y,112000
60,82,IR1,1214,1203,2520,TA,721,GasA,Gd,290,565,638,Y,290000
160,21,Reg,483,483,987,NA,280,GasA,TA,127,321,162,Y,106000
20,70,Reg,912,912,912,Fa,336,GasA,TA,0,842,70,Y,125000
120,43,Reg,1555,1373,1555,TA,430,GasA,Gd,16,16,1357,Y,192500
20,73,Reg,1194,1194,1194,NA,312,GasA,TA,220,0,1194,Y,148000
60,174,IR1,1490,1462,2794,TA,810,GasA,Gd,506,689,773,Y,403000
160,21,Reg,483,483,987,Po,288,GasA,TA,297,0,483,Y,94500
20,75,Reg,894,894,894,NA,308,GasA,TA,0,182,0,Y,128200
60,NA,Reg,860,860,1960,TA,440,GasA,Gd,NA,625,235,Y,216500
160,21,Reg,483,483,987,NA,264,GasA,TA,604,358,125,Y,89500
20,65,Reg,1414,1414,1414,NA,494,GasA,Gd,98,24,1390,Y,185500
60,NA,IR1,1014,996,1744,NA,457,GasA,Gd,0,402,594,Y,194500
20,93,Reg,1694,1694,1694,NA,818,GasA,Ex,254,0,1694,Y,318000
50,52,Reg,798,735,1487,Gd,220,GasA,TA,0,94,641,Y,113000
20,75,Reg,1566,1566,1566,NA,750,GasA,Gd,36,1078,488,Y,262500
30,40,Reg,866,686,866,NA,0,GasA,TA,0,329,357,Y,110500
50,63,Reg,889,540,1440,NA,352,GasA,TA,0,0,540,N,79000
160,75,Reg,626,626,1217,TA,288,GasA,TA,0,0,626,Y,120000
60,NA,IR1,1222,948,2110,Fa,463,GasA,Gd,0,695,253,Y,205000
20,80,Reg,1872,1845,1872,TA,604,GasA,TA,102,929,916,Y,241500
190,69,Reg,908,1020,1928,NA,440,GasA,TA,0,0,1020,N,137000
20,75,Reg,1375,1367,1375,TA,451,GasA,TA,0,0,1367,Y,140000
60,72,Reg,840,840,1668,NA,500,GasA,Gd,101,0,840,Y,180000
50,NA,IR2,1444,1444,2144,TA,389,GasA,Gd,472,697,747,Y,277000
30,55,IR1,1306,728,1306,NA,0,GasA,TA,0,0,728,Y,76500
120,44,IR1,1625,1573,1625,Gd,538,GasA,Gd,481,1573,0,Y,235000
60,65,IR1,798,798,1640,NA,520,GasA,Gd,0,0,798,Y,173000
80,85,Reg,1302,1302,1302,NA,309,GasA,TA,108,270,452,Y,158000
20,70,Reg,1314,1314,1314,NA,294,GasA,TA,0,922,392,Y,145000
60,66,IR1,1005,975,2291,TA,429,GasA,Gd,302,0,975,Y,230000
60,64,IR1,864,864,1728,NA,673,GasA,Gd,0,503,361,Y,207500
20,68,Reg,1604,1604,1604,Gd,660,GasA,Gd,180,1334,270,Y,220000
60,80,Reg,963,963,1792,TA,564,GasA,Gd,172,361,602,Y,231500
20,70,Reg,882,0,882,NA,308,GasA,TA,0,0,0,Y,97000
80,120,Reg,1382,1362,1382,TA,884,GasA,TA,399,672,0,Y,176000
60,69,IR1,1482,1482,2574,Gd,868,GasA,Gd,270,0,1482,Y,276000
80,88,IR1,1212,506,1212,TA,492,GasA,TA,46,506,0,Y,151000
50,50,Reg,926,926,1316,NA,484,GasA,TA,0,234,0,Y,130000
30,30,IR3,764,680,764,NA,504,GasA,TA,0,0,680,N,73000
20,78,IR1,1422,1422,1422,TA,576,GasA,TA,210,588,606,Y,175500
60,70,IR1,802,802,1511,TA,413,GasA,TA,0,714,88,Y,185000
75,60,Reg,1052,720,2192,Gd,240,GasA,TA,0,378,342,Y,179500
30,71,Reg,778,740,778,Gd,924,GasA,TA,0,403,212,Y,120500
20,NA,IR1,1113,1143,1113,Fa,504,GasA,TA,174,751,392,Y,148000
60,84,Reg,1095,1095,1939,Gd,1053,GasA,Gd,0,0,1095,Y,266000
20,73,IR1,1363,1385,1363,TA,439,GasA,TA,0,226,96,Y,241500
60,92,IR1,1164,1152,2270,Gd,671,GasA,Gd,348,524,628,Y,290000
20,80,Reg,1632,1240,1632,Gd,338,GasA,TA,183,620,0,Y,139000
20,76,Reg,816,816,816,NA,264,GasA,TA,0,546,270,Y,124500
50,55,Reg,952,952,1548,NA,672,GasW,Gd,0,0,952,N,205000
20,129,IR1,1560,1560,1560,NA,573,GasA,Gd,0,0,1560,Y,201000
20,140,Reg,864,864,864,NA,400,GasA,TA,0,120,744,Y,141000
20,107,Reg,2121,2121,2121,Ex,732,GasA,Ex,315,0,2121,Y,415298
60,83,Reg,1156,1160,2022,TA,505,GasA,TA,299,392,768,Y,192000
60,82,Reg,1175,807,1982,TA,575,GasA,Gd,340,421,386,Y,228500
20,60,Reg,1262,1262,1262,NA,572,GasA,Gd,68,905,357,Y,185000
120,34,Reg,1314,1314,1314,Gd,626,GasA,Gd,166,904,410,Y,207500
20,74,Reg,1468,1468,1468,Gd,898,GasA,Gd,72,0,1468,Y,244600
120,50,Reg,1575,1575,1575,NA,529,GasA,Gd,0,430,1145,Y,179200
160,35,IR1,625,625,1250,NA,528,GasA,Gd,0,0,625,Y,164700
50,77,IR1,1085,912,1734,Gd,440,GasA,TA,0,600,312,Y,159000
20,NA,IR1,858,858,858,NA,0,GasA,TA,0,614,244,Y,88000
20,NA,IR1,900,882,900,NA,280,GasA,TA,31,450,432,Y,122000
70,60,Reg,698,698,1396,NA,384,GasA,TA,0,0,698,Y,153575
60,120,Reg,1079,1079,1919,Gd,685,GasA,Gd,0,0,1079,Y,233230
190,55,Reg,936,780,1716,NA,0,GasA,TA,0,210,570,N,135900
50,60,Reg,1148,768,1716,Gd,281,GasA,TA,0,292,476,Y,131000
60,NA,IR1,1468,795,2263,TA,539,GasA,TA,34,795,0,Y,235000
20,80,Reg,1644,1416,1644,Gd,418,GasA,TA,238,1285,131,Y,167000
80,37,IR1,1003,1003,1003,NA,588,GasA,TA,0,819,184,Y,142500
50,75,Reg,910,910,1558,NA,282,GasA,TA,0,420,490,Y,152000
60,66,IR1,975,975,1950,TA,576,GasA,Gd,1600,649,326,Y,239000
60,90,Reg,1041,702,1743,Gd,539,GasA,Gd,365,384,143,Y,175000
20,80,Reg,1152,1092,1152,Gd,300,GasA,TA,0,0,1092,Y,158500
190,90,Reg,1336,1165,1336,Gd,375,GasA,TA,56,841,324,Y,157000
60,66,IR3,1210,1028,2452,TA,683,GasA,Gd,0,281,747,Y,267000
20,118,IR1,1541,1541,1541,TA,843,GasA,Gd,150,0,1541,Y,205000
20,70,Reg,894,894,894,NA,552,GasA,TA,0,894,0,Y,149900
75,87,Reg,1675,1470,3493,Ex,870,GasA,TA,0,0,1470,Y,295000
20,80,Reg,2000,2000,2000,NA,888,GasA,Gd,246,1464,536,Y,305900
60,116,Reg,1122,700,2243,TA,746,GasA,Gd,246,700,0,Y,225000
50,NA,IR1,1035,319,1406,NA,0,GasA,TA,0,0,319,Y,89500
30,NA,IR1,861,861,861,NA,539,GasA,TA,0,262,599,Y,82500
20,90,IR1,1944,1896,1944,Ex,708,GasA,Gd,0,1274,622,Y,360000
60,NA,IR1,697,697,1501,TA,420,GasA,TA,112,518,179,Y,165600
20,50,Reg,972,972,972,Gd,240,GasA,TA,0,680,292,Y,132000
190,65,Reg,793,793,1118,Gd,410,GasA,TA,0,507,286,Y,119900
20,150,IR3,2036,2136,2036,Gd,513,GasW,TA,0,1236,80,Y,375000
70,60,Reg,832,728,1641,Gd,546,GasA,TA,0,16,712,Y,178000
60,71,IR1,716,716,1432,Gd,432,GasA,Gd,0,425,291,Y,188500
60,94,IR1,1153,845,2353,TA,484,GasA,Gd,278,692,153,Y,260000
60,75,Reg,1088,1088,1959,Gd,1025,GasA,Gd,0,0,1088,Y,270000
60,90,Reg,1372,1347,2646,TA,656,GasA,Gd,256,987,360,Y,260000
80,NA,Reg,1472,1372,1472,TA,588,GasA,TA,225,1036,336,Y,187500
60,111,Reg,1249,1249,2596,NA,840,GasA,TA,370,0,1249,Y,342643
60,99,IR1,1136,1136,2468,Gd,872,GasA,Gd,388,970,166,Y,354000
60,86,IR1,1553,1502,2730,TA,576,GasA,Gd,172,28,0,Y,301000
20,49,Reg,1163,1162,1163,NA,220,GasA,TA,0,256,906,Y,126175
80,96,Reg,1898,710,2978,Gd,564,GasA,Gd,300,0,710,Y,242000
45,50,Reg,803,720,803,NA,360,GasA,TA,0,116,604,N,87000
120,32,IR1,1719,1719,1719,Gd,473,GasA,Gd,0,1619,100,Y,324000
20,80,Reg,1383,1383,1383,NA,292,GasA,TA,175,565,818,Y,145250
75,NA,IR1,1445,844,2134,NA,441,GasA,TA,0,0,844,N,214500
70,60,Reg,596,596,1192,NA,189,GasA,TA,0,0,596,N,78000
90,NA,IR1,1728,1728,1728,NA,352,GasA,TA,84,40,1424,Y,119000
20,70,Reg,1056,1056,1056,NA,308,GasA,TA,0,846,210,Y,139000
20,85,IR1,1629,3206,1629,Gd,880,GasA,Gd,296,1124,1603,Y,284000
120,59,Reg,1358,1358,1358,Gd,484,GasA,Gd,146,720,638,Y,207000
60,59,IR1,943,943,1638,TA,472,GasA,TA,0,828,115,Y,192000
