"id","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity"
15501,-117.26,33.09,22,2398,407,349,169,7.0423,500001,"NEAR OCEAN"
14846,-117.09,32.68,29,1792,449,1650,396,2.2201,1e+05,"NEAR OCEAN"
5081,-118.3,33.98,48,2010,445,1208,404,1.6611,95800,"<1H OCEAN"
2940,-118.95,35.36,30,2294,508,1753,482,2.1078,54700,"INLAND"
14668,-117.13,32.79,35,1458,262,723,257,4.2098,174100,"NEAR OCEAN"
15963,-122.44,37.72,52,1507,282,929,281,3.8958,247700,"NEAR BAY"
16290,-121.3,37.92,28,3308,766,3201,720,1.7694,73900,"INLAND"
2689,-115.56,32.96,21,2164,480,1164,421,3.8177,107200,"INLAND"
12713,-121.4,38.59,18,2614,624,1181,616,2.0432,156800,"INLAND"
18468,-121.68,37,19,3754,588,1692,550,6.7644,412600,"<1H OCEAN"
8009,-118.11,33.85,36,2418,389,1138,387,4.8393,216300,"<1H OCEAN"
16367,-121.3,38.01,30,2547,485,1547,501,3.994,95500,"INLAND"
9508,-123.21,39.07,17,1890,342,877,312,3.7833,159800,"<1H OCEAN"
18066,-122.04,37.24,24,1521,209,539,192,11.1557,500001,"<1H OCEAN"
7910,-118.08,33.88,27,3065,736,1840,719,3.6417,208100,"<1H OCEAN"
5132,-118.27,33.98,44,1722,457,2177,401,2.125,92500,"<1H OCEAN"
9523,-123.21,39.14,15,2235,545,1376,516,1.9032,1e+05,"<1H OCEAN"
7501,-118.25,33.92,44,1137,235,747,225,2,92600,"<1H OCEAN"
9638,-120.77,37.01,28,1689,378,1057,267,3.125,156300,"INLAND"
4191,-118.22,34.11,36,2870,529,1371,565,5.2083,220900,"<1H OCEAN"
3009,-119.01,35.28,10,7011,1453,4163,1307,2.7659,77500,"INLAND"
15404,-117.23,33.24,26,1991,330,1014,304,4.3068,240100,"<1H OCEAN"
15935,-122.41,37.73,52,1931,358,1092,356,3.7835,271300,"NEAR BAY"
15245,-117.26,33,31,2695,491,1059,451,4.7841,393500,"NEAR OCEAN"
18963,-122.05,38.26,21,7195,1416,3927,1377,3.0912,126300,"INLAND"
5216,-118.25,33.94,43,1113,378,1305,334,1.1434,91300,"<1H OCEAN"
14797,-117.1,32.58,27,2616,591,1889,577,2.3824,127600,"NEAR OCEAN"
16027,-122.44,37.73,52,2838,567,1411,526,3.8304,261400,"NEAR BAY"
16327,-121.36,37.99,8,1801,380,684,350,4.2589,134900,"INLAND"
17590,-121.91,37.31,28,3104,811,1488,754,3.6429,332600,"<1H OCEAN"
10588,-117.77,33.69,14,1413,372,744,338,3.7988,184100,"<1H OCEAN"
12738,-121.36,38.64,24,6540,1008,2667,1031,5.5632,175200,"INLAND"
14910,-117.04,32.62,26,3620,607,2000,593,4.9962,156000,"NEAR OCEAN"
19620,-121.06,37.45,33,1401,299,915,282,3.4464,162500,"INLAND"
8650,-118.39,33.86,34,2361,442,915,437,5.687,392400,"<1H OCEAN"
20110,-120.23,37.86,16,324,61,135,61,2.4615,137500,"INLAND"
14549,-117.25,32.94,15,1804,339,673,296,5.9806,370500,"NEAR OCEAN"
1296,-121.81,37.99,18,2807,445,1315,437,4.8194,170400,"INLAND"
2455,-119.56,36.53,19,2746,495,1670,518,3.2019,95700,"INLAND"
2565,-124.14,40.79,38,1552,290,873,291,2.4896,81000,"NEAR OCEAN"
2710,-115.69,32.79,18,1564,340,1161,343,2.1792,55200,"INLAND"
2245,-119.8,36.83,17,1560,261,709,258,4.3315,95800,"INLAND"
13022,-121.23,38.71,18,4947,714,2227,675,4.8542,170500,"INLAND"
529,-122.25,37.77,52,1527,320,825,264,3.4531,208800,"NEAR BAY"
16882,-122.4,37.59,22,2754,477,1163,479,6.2306,500001,"NEAR OCEAN"
1512,-122.01,37.91,21,10093,1269,3645,1219,7.6877,367700,"NEAR BAY"
1486,-122.01,37.95,8,3866,539,1555,513,6.0901,298200,"NEAR BAY"
467,-122.28,37.87,52,1813,353,828,339,3.5625,191700,"NEAR BAY"
2118,-119.73,36.76,30,1548,282,886,311,3.1,71300,"INLAND"
10384,-117.64,33.62,16,3970,771,1202,734,3.4115,184800,"<1H OCEAN"
12683,-121.4,38.55,26,2697,398,1088,389,5,142500,"INLAND"
18954,-122.06,38.25,34,1562,289,898,307,3.3598,107200,"INLAND"
5667,-118.29,33.72,25,2469,584,1253,535,3.1932,257500,"NEAR OCEAN"
119,-122.23,37.84,50,2515,399,970,373,5.8596,327600,"NEAR BAY"
20498,-118.7,34.3,23,2831,406,1284,393,6.1383,244100,"<1H OCEAN"
2370,-119.57,36.71,10,1657,359,958,380,2.6458,84800,"INLAND"
11775,-121.3,38.74,41,4374,1039,2387,959,2.3611,87900,"INLAND"
3368,-120.37,40.17,21,789,141,406,146,2.1198,73500,"INLAND"
7581,-118.22,33.89,36,873,240,1086,217,2.25,126600,"<1H OCEAN"
17869,-121.91,37.44,19,2174,484,1645,484,5.0362,255100,"<1H OCEAN"
9709,-121.65,36.67,28,1926,556,1717,535,1.9385,123200,"<1H OCEAN"
9581,-120.41,37.16,21,1684,341,1052,312,2.0809,95800,"INLAND"
17805,-121.87,37.39,16,2655,487,1862,448,6.057,246800,"<1H OCEAN"
907,-121.99,37.54,28,3046,507,1772,516,5.3283,227900,"<1H OCEAN"
9477,-123.35,39.42,18,1619,346,904,295,2.1625,77200,"<1H OCEAN"
